SOC	Ecell/V
99.63371422	4.1749287
99.63264004	4.174921
99.63156588	4.1748867
99.63049172	4.1748714
99.62941757	4.1748295
99.62834341	4.1747913
99.62726926	4.1747761
99.62619512	4.1747265
99.62512097	4.174654
99.62404683	4.1747799
99.62297268	4.1746159
99.62189853	4.1746273
99.62082439	4.1746311
99.61975024	4.1745853
99.61867609	4.1745658
99.61760195	4.1745582
99.61652781	4.1745429
99.61545367	4.1744475
99.61437953	4.1744742
99.61330538	4.1744514
99.61223123	4.1743865
99.61115709	4.1743445
99.61008294	4.1742911
99.60900879	4.1743827
99.60793464	4.1742721
99.60686049	4.1742606
99.60578634	4.1741691
99.6047122	4.1741424
99.60363805	4.1741271
99.60256391	4.1741195
99.60148976	4.1741157
99.60041561	4.1741462
99.59934147	4.1740508
99.59826733	4.1739936
99.59719319	4.1740394
99.59611905	4.173944
99.59504492	4.1739058
99.59397078	4.1738334
99.59289664	4.1738219
99.5918225	4.1738067
99.59074836	4.1738181
99.58967422	4.1737571
99.58860008	4.1738486
99.58752594	4.1737418
99.5864518	4.1737151
99.58537767	4.1736116
99.58430354	4.1736879
99.58322941	4.1736732
99.58215527	4.1736732
99.58108115	4.1734705
99.58000702	4.1735277
99.57893288	4.1735125
99.57785875	4.1735086
99.57678461	4.1734667
99.57571048	4.1734667
99.57463634	4.1734095
99.5735622	4.173398
99.57248806	4.1734552
99.57141392	4.173295
99.57033978	4.1732683
99.56926564	4.1732912
99.5681915	4.173192
99.56711737	4.1732798
99.56604324	4.1731348
99.5649691	4.1731462
99.56389496	4.1730967
99.56282082	4.1731424
99.56174669	4.1731119
99.56067255	4.1730547
99.55959841	4.1730471
99.55852428	4.1729898
99.55745013	4.1730127
99.55637599	4.1730547
99.55530184	4.172967
99.55422769	4.1728678
99.55315354	4.172864
99.55207939	4.1728258
99.55100523	4.172883
99.54993108	4.1727686
99.54885693	4.1727991
99.54778277	4.1727839
99.54670862	4.1727762
99.54563447	4.1727071
99.54456032	4.172646
99.54348616	4.1726613
99.54241201	4.1726117
99.54133786	4.1725469
99.54026371	4.1725812
99.53918956	4.1725583
99.5381154	4.1724973
99.53704124	4.1725087
99.53596709	4.1724706
99.53489293	4.1724019
99.53381878	4.1724553
99.53274461	4.1723714
99.53167045	4.1723523
99.53059629	4.1723371
99.52952212	4.1721768
99.52844795	4.172276
99.52737378	4.1722493
99.5262996	4.1721997
99.52522542	4.1721539
99.52415124	4.1722035
99.52307707	4.1720929
99.5220029	4.1721311
99.52092874	4.1720357
99.51985457	4.1720433
99.5187804	4.1719975
99.51770624	4.1719747
99.51663208	4.1718831
99.51555793	4.1720243
99.51448377	4.1719289
99.51340961	4.171948
99.51233545	4.1718831
99.51126129	4.1717606
99.51018713	4.171711
99.50911297	4.1717834
99.50803881	4.1717491
99.50696466	4.1718335
99.50589051	4.1716614
99.50481635	4.1716728
99.5037422	4.171627
99.50266805	4.1716919
99.5015939	4.1715813
99.50051975	4.1714859
99.4994456	4.1715126
99.49837145	4.1714935
99.4972973	4.1714096
99.49622315	4.1714554
99.49514899	4.1713982
99.49407484	4.1714325
99.49300068	4.1713181
99.49192652	4.1714058
99.49085236	4.1713295
99.4897782	4.1712761
99.48870405	4.1713409
99.4876299	4.1712532
99.48655576	4.1711845
99.48548161	4.171196
99.48440747	4.1711884
99.48333333	4.1711807
99.48225919	4.1710968
99.48118505	4.1710663
99.48011092	4.171093
99.47903678	4.171032
99.47796264	4.1710091
99.47688849	4.1709747
99.47581433	4.1709476
99.47474018	4.1708331
99.47366603	4.1708636
99.47259188	4.1708102
99.47151772	4.1708179
99.47044357	4.1707644
99.46936942	4.1708255
99.46829527	4.1706958
99.46722111	4.1707644
99.46614696	4.1706653
99.46507281	4.1706462
99.46399867	4.1706309
99.46292452	4.1706614
99.46185038	4.1705317
99.46077624	4.1705279
99.45970209	4.1705585
99.45862793	4.1705279
99.45755378	4.1704898
99.45647962	4.1704783
99.45540547	4.1703715
99.45433131	4.1704173
99.45325717	4.1704593
99.45218302	4.1703639
99.45110887	4.1703105
99.45003472	4.1702914
99.44896057	4.1702113
99.44788641	4.1702685
99.44681226	4.1702418
99.44573811	4.1701427
99.44466396	4.1701999
99.44358981	4.1701388
99.44251566	4.1700511
99.44144151	4.1700969
99.44036737	4.1700315
99.43929323	4.170001
99.43821908	4.1699858
99.43714494	4.1699667
99.43607081	4.1698866
99.43499667	4.169982
99.43392254	4.1698637
99.4328484	4.1698332
99.43177426	4.1697836
99.43070011	4.169837
99.42962597	4.1697912
99.42855182	4.1697454
99.42747767	4.1696539
99.42640352	4.1697531
99.42532938	4.1696386
99.42425523	4.1696157
99.42318109	4.1696959
99.42210695	4.169631
99.4210328	4.1695509
99.41995866	4.1694937
99.41888451	4.1695013
99.41781037	4.169486
99.41673622	4.1694899
99.41566206	4.1693945
